,0
0,1.9181462081712852
1,2.4024861167630527
2,2.8993818690805124
3,3.1008195150303832
4,2.797294713170513
5,3.2945580745748515
6,3.0247020307300527
7,3.0145234555388245
8,3.4620004203040144
9,2.9471815156614003
10,2.5684484051043244
11,2.800273227312587
12,3.3973033081471122
13,3.1446287224508933
14,4.048582942612409
15,3.0138281931763364
16,3.170545192507796
17,2.8237712462268814
18,3.8599904156692926
19,3.0444047935020966
20,2.6889208460107903
21,3.7640071731851537
22,3.0300163118930485
23,2.996096303180976
24,2.9357731640059823
25,3.212326168141354
26,3.0240104606714455
27,3.1883031510804787
28,2.3980325834690346
29,2.8177408133392077
30,3.057053113857997
31,3.549674425042781
32,3.3198078929255432
33,2.518103229048117
34,3.7568181550938817
35,2.1019748739627584
36,3.0572044629685466
37,3.3430240434112073
38,2.6485891123075262
39,4.128258341441173
40,2.3577318175934545
41,2.612955826682068
42,3.028244147718896
43,3.7396907530772507
44,2.9282376657379348
45,2.9042248930198964
46,2.6915277171524647
47,4.118550394119964
48,2.476650921707793
49,3.5500774475147217
50,2.6710167271145493
51,3.335725508522424
52,3.1365375828525845
53,1.88907766447923
54,2.7831296891864716
55,3.488274732377696
56,2.6645990376073687
57,3.50094290451074
58,2.9312995782048334
59,3.690167698679543
60,2.8864425390365174
61,2.648353246873997
62,1.890220104353899
63,3.115165062669748
64,2.424468838862496
65,2.609401394983741
66,2.9695147361466603
67,3.271460080638914
68,3.232815171579853
69,2.716119353674701
70,2.8938360437331454
71,3.188762858976464
72,1.4368523018912867
73,3.3363871318823564
74,3.839521582303016
75,3.4563386263598757
76,2.447011985002497
77,2.951905336335578
78,3.6465010628703354
79,3.4403783253319777
80,3.850163834439639
81,3.6027539312278707
82,3.2579326774196797
83,3.91223201036845
84,3.1610002187213477
85,3.0276149554523326
86,2.6032321351309355
87,2.734590474798575
88,3.2354911667430635
89,3.952182417341762
90,4.159513110283424
91,3.340500513774129
92,3.0236603840490908
93,2.754092076534804
94,3.261864124055534
95,3.5213092216867485
96,2.2557257747382353
97,2.6465995915288176
98,2.9452239249764554
99,3.1707035529309664
100,3.38778481023329
101,3.630310138786518
102,2.1938219493571594
103,3.1375520809069433
104,2.73084125965434
105,2.8108656481761076
106,2.928659289258773
107,3.4125013132497055
108,2.7286569781877383
