,0
0,4.19253367426595
1,4.275242143292349
2,2.5794931962396985
3,3.368073716658031
4,4.392465812297891
5,3.1189953416223615
6,3.4921821490421383
7,3.8209818399423807
8,3.5442876173352276
9,2.5681150429846475
10,2.9200345349084986
11,3.291839276498723
12,3.158996705689897
13,3.822064794282467
14,3.4897700508482994
15,3.836112717731705
16,4.3925795330313235
17,3.7097135442054667
18,3.5617166762342976
19,3.353888336348051
20,4.509982806200356
21,2.730953269855621
22,2.615958640496734
23,2.9024588378237715
24,2.960365685157871
25,3.115334707557815
26,5.5919363688645465
27,3.159624469051446
28,3.579383748713261
29,3.020839528791421
30,2.604030662854818
31,1.756893176061939
32,3.497909102362128
33,3.6470062507299725
34,2.9985636447956026
35,3.7953446368140398
36,3.9211033697427338
37,2.8867162539553672
38,2.7132329297463573
39,4.679936650856409
40,3.5042310183924266
41,3.4834897297907244
42,3.966691759817049
43,3.5364623211163653
44,5.399616826930872
45,4.605322919486135
46,3.7681636902840494
47,3.188359913804222
48,4.122168012502166
49,3.0711816149915667
50,4.711852934865082
51,2.703337835864159
52,3.589266801524004
53,3.3758585290770946
54,3.086014442187532
55,1.7236517567633682
56,3.43553708252606
57,4.272467041555102
58,3.2072728514741544
59,2.0338070306107703
60,3.6191524705808598
61,3.34489446747886
62,2.036193086864995
63,2.7984354585059616
64,3.1384408577129097
65,4.319535554047263
66,4.366921605941062
67,3.6902333123937066
68,3.2250276199033814
69,3.7989113946451427
70,4.16126833602362
71,2.505989656186524
72,4.622362914171692
73,3.7949310380281753
74,3.1959928462313365
75,4.010432815629019
76,2.6769859471864637
77,2.988773870130947
78,3.6904942921603756
79,5.064566385177834
80,3.939283374030032
81,3.6459221409114733
82,4.347283326886312
83,3.1010533333241117
84,5.94830770014776
85,6.069835449922122
86,3.0923984641505724
87,4.445097379401744
88,2.6116106560636503
89,3.1662555533614056
90,3.2671237384511524
91,4.697779717308
92,2.9495542096061618
93,2.349851487433695
94,3.231844244194249
95,2.733429476933368
96,3.744734895986612
97,4.552913909561999
98,4.261762054799411
99,3.22774737398831
100,3.200236868085217
101,1.7838041947132892
102,2.2945426071407957
103,3.5823903944896758
104,3.143175328570864
105,4.167874194292234
106,3.490598485939464
107,3.4643186388326317
108,3.9762451293856578
109,3.1686572179405355
110,2.329699174913741
111,2.074319450970542
112,4.078194131399519
113,3.8497913518567266
114,2.093151192810618
115,4.4625613494937895
116,3.4336453527820407
117,3.057618958140234
118,2.7639206357890425
119,2.8186621834638204
120,3.8200261682595817
121,3.8694817211602404
122,2.243640900796718
123,3.9080861655969525
124,2.6087758809291226
125,3.983789837427567
126,2.0833708774111495
127,3.290889299319136
128,3.7265404298516738
129,2.692276642966514
130,2.336724286725988
131,2.4446198758718314
132,3.0878317813715848
133,4.02390594253181
134,3.7568476275095937
135,4.581074790620025
136,3.443500554333403
137,3.5668667581776092
138,4.143332276417786
